Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	1	0	1	-98.2692
0.0508571	1	0	1	-98.2692
0.130857	1	0	1	-98.2692
0.210857	1	0	1	-98.2692
0.290857	1	0	1	-98.2692
0.370857	1	0	1	-98.2692
0.405929	1	0	1	-98.2692
0.406929	1	0	1	-98.2692
0.407929	1	0	1	-98.2692
0.408929	1	0	1	-98.2692
0.409929	1	0	1	-98.2692
0.410929	1	0	1	-98.2692
0.411929	1	0	1	-98.2692
0.412929	1	0	1	-98.2692
0.413929	1	0	1	-98.2692
0.414929	1	0	1	-98.2692
0.415929	1	0	1	-98.2692
0.416929	1	0	1	-98.2692
0.417929	1	0	1	-98.2692
0.418929	1	0	1	-98.2692
0.419929	1	0	1	-98.2692
0.420929	1	0	1	-98.2692
0.421929	1	0	1	-98.2692
0.422929	1	0	1	-98.2692
0.423929	1	0	1	-98.2692
0.424929	1	0	1	-98.2692
0.425929	1	0	1	-98.2692
0.426929	1	0	1	-98.2692
0.427929	1	0	1	-98.2692
0.428929	1	0	1	-98.2692
0.429929	1	0	1	-98.2692
0.430929	1	0	1	-98.2692
0.431929	1	0	1	-98.2692
0.432929	1	0	1	-98.2692
0.433929	1	0	1	-98.2692
0.434929	1	0	1	-98.2692
0.435929	1	0	1	-98.2692
0.436929	1	0	1	-98.2692
0.437929	1	0	1	-98.2692
0.438929	1	0	1	-98.2692
0.439929	1	0	1	-98.2692
0.440929	1	0	1	-98.2692
0.441929	1	0	1	-98.2692
0.442929	1	0	1	-98.2692
0.443929	1	0	1	-98.2692
0.444929	1	0	1	-98.2692
0.445929	1	0	1	-98.2692
0.446929	1	0	1	-98.2692
0.447929	1	0	1	-98.2692
0.448929	1	0	1	-98.2692
0.449929	1	0	1	-98.2692
0.450857	1	0	1	-98.2692
0.450929	1	0	1	-98.2692
0.451929	1	0	1	-98.2692
0.452929	1	0	1	-98.2692
0.453929	1	0	1	-98.2692
0.454929	1	0	1	-98.2692
0.455929	1	0	1	-98.2692
0.456929	1	0	1	-98.2692
0.457929	1	0	1	-98.2692
0.458929	1	0	1	-98.2692
0.459929	1	0	1	-98.2692
0.460929	1	0	1	-98.2692
0.461929	1	0	1	-98.2692
0.462929	1	0	1	-98.2692
0.463929	1	0	1	-98.2692
0.464929	1	0	1	-98.2692
0.465929	1	0	1	-98.2692
0.466929	1	0	1	-98.2692
0.467929	1	0	1	-98.2692
0.468929	1	0	1	-98.2692
0.469929	1	0	1	-98.2692
0.470929	1	0	1	-98.2692
0.471929	1	0	1	-98.2692
0.472929	1	0	1	-98.2692
0.473929	1	0	1	-98.2692
0.474929	1	0	1	-98.2692
0.475929	1	0	1	-98.2692
0.476929	1	0	1	-98.2692
0.477929	1	0	1	-98.2692
0.478929	1	0	1	-98.2692
0.479929	1	0	1	-98.2692
0.480929	1	0	1	-98.2692
0.481929	1	0	1	-98.2692
0.482929	1	0	1	-98.2692
0.483929	1	0	1	-98.2692
0.484929	1	0	1	-98.2692
