Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
1.021	gNB PHY Rxed	102	0	0	1	1	0	DL_CQI
1.021	gNB PHY Rxed	102	0	0	1	1	0	DL_HARQ
1.022	gNB PHY Rxed	102	1	0	1	1	0	DL_CQI
1.022	gNB PHY Rxed	102	1	0	1	1	0	DL_HARQ
1.023	gNB PHY Rxed	102	2	0	1	1	0	DL_CQI
1.023	gNB PHY Rxed	102	2	0	1	1	0	DL_HARQ
1.024	gNB PHY Rxed	102	3	0	1	1	0	DL_CQI
1.024	gNB PHY Rxed	102	3	0	1	1	0	DL_HARQ
1.025	gNB PHY Rxed	102	4	0	1	1	0	DL_CQI
1.025	gNB PHY Rxed	102	4	0	1	1	0	DL_HARQ
1.026	gNB PHY Rxed	102	5	0	1	1	0	DL_CQI
1.026	gNB PHY Rxed	102	5	0	1	1	0	DL_HARQ
1.027	gNB PHY Rxed	102	6	0	1	1	0	DL_CQI
1.027	gNB PHY Rxed	102	6	0	1	1	0	DL_HARQ
1.028	gNB PHY Rxed	102	7	0	1	1	0	DL_CQI
1.028	gNB PHY Rxed	102	7	0	1	1	0	DL_HARQ
1.029	gNB PHY Rxed	102	8	0	1	1	0	DL_CQI
1.029	gNB PHY Rxed	102	8	0	1	1	0	DL_HARQ
1.03	gNB PHY Rxed	102	9	0	1	1	0	DL_CQI
1.03	gNB PHY Rxed	102	9	0	1	1	0	DL_HARQ
1.031	gNB PHY Rxed	103	0	0	1	1	0	DL_CQI
1.031	gNB PHY Rxed	103	0	0	1	1	0	DL_HARQ
1.032	gNB PHY Rxed	103	1	0	1	1	0	DL_CQI
1.032	gNB PHY Rxed	103	1	0	1	1	0	DL_HARQ
1.033	gNB PHY Rxed	103	2	0	1	1	0	DL_CQI
1.033	gNB PHY Rxed	103	2	0	1	1	0	DL_HARQ
1.034	gNB PHY Rxed	103	3	0	1	1	0	DL_CQI
1.034	gNB PHY Rxed	103	3	0	1	1	0	DL_HARQ
1.035	gNB PHY Rxed	103	4	0	1	1	0	DL_CQI
1.035	gNB PHY Rxed	103	4	0	1	1	0	DL_HARQ
1.036	gNB PHY Rxed	103	5	0	1	1	0	DL_CQI
1.036	gNB PHY Rxed	103	5	0	1	1	0	DL_HARQ
1.037	gNB PHY Rxed	103	6	0	1	1	0	DL_CQI
1.037	gNB PHY Rxed	103	6	0	1	1	0	DL_HARQ
1.038	gNB PHY Rxed	103	7	0	1	1	0	DL_CQI
1.038	gNB PHY Rxed	103	7	0	1	1	0	DL_HARQ
1.039	gNB PHY Rxed	103	8	0	1	1	0	DL_CQI
1.039	gNB PHY Rxed	103	8	0	1	1	0	DL_HARQ
1.04	gNB PHY Rxed	103	9	0	1	1	0	DL_CQI
1.04	gNB PHY Rxed	103	9	0	1	1	0	DL_HARQ
1.041	gNB PHY Rxed	104	0	0	1	1	0	DL_CQI
1.041	gNB PHY Rxed	104	0	0	1	1	0	DL_HARQ
1.042	gNB PHY Rxed	104	1	0	1	1	0	DL_CQI
1.042	gNB PHY Rxed	104	1	0	1	1	0	DL_HARQ
1.043	gNB PHY Rxed	104	2	0	1	1	0	DL_CQI
1.043	gNB PHY Rxed	104	2	0	1	1	0	DL_HARQ
1.044	gNB PHY Rxed	104	3	0	1	1	0	DL_CQI
1.044	gNB PHY Rxed	104	3	0	1	1	0	DL_HARQ
1.045	gNB PHY Rxed	104	4	0	1	1	0	DL_CQI
1.045	gNB PHY Rxed	104	4	0	1	1	0	DL_HARQ
1.046	gNB PHY Rxed	104	5	0	1	1	0	DL_CQI
1.046	gNB PHY Rxed	104	5	0	1	1	0	DL_HARQ
1.047	gNB PHY Rxed	104	6	0	1	1	0	DL_CQI
1.047	gNB PHY Rxed	104	6	0	1	1	0	DL_HARQ
1.048	gNB PHY Rxed	104	7	0	1	1	0	DL_CQI
1.048	gNB PHY Rxed	104	7	0	1	1	0	DL_HARQ
1.049	gNB PHY Rxed	104	8	0	1	1	0	DL_CQI
1.049	gNB PHY Rxed	104	8	0	1	1	0	DL_HARQ
1.05	gNB PHY Rxed	104	9	0	1	1	0	DL_CQI
1.05	gNB PHY Rxed	104	9	0	1	1	0	DL_HARQ
1.051	gNB PHY Rxed	105	0	0	1	1	0	DL_CQI
1.051	gNB PHY Rxed	105	0	0	1	1	0	DL_HARQ
1.052	gNB PHY Rxed	105	1	0	1	1	0	DL_CQI
1.052	gNB PHY Rxed	105	1	0	1	1	0	DL_HARQ
1.053	gNB PHY Rxed	105	2	0	1	1	0	DL_CQI
1.053	gNB PHY Rxed	105	2	0	1	1	0	DL_HARQ
1.054	gNB PHY Rxed	105	3	0	1	1	0	DL_CQI
1.054	gNB PHY Rxed	105	3	0	1	1	0	DL_HARQ
1.055	gNB PHY Rxed	105	4	0	1	1	0	DL_CQI
1.055	gNB PHY Rxed	105	4	0	1	1	0	DL_HARQ
1.056	gNB PHY Rxed	105	5	0	1	1	0	DL_CQI
1.056	gNB PHY Rxed	105	5	0	1	1	0	DL_HARQ
1.057	gNB PHY Rxed	105	6	0	1	1	0	DL_CQI
1.057	gNB PHY Rxed	105	6	0	1	1	0	DL_HARQ
1.058	gNB PHY Rxed	105	7	0	1	1	0	DL_CQI
1.058	gNB PHY Rxed	105	7	0	1	1	0	DL_HARQ
1.059	gNB PHY Rxed	105	8	0	1	1	0	DL_CQI
1.059	gNB PHY Rxed	105	8	0	1	1	0	DL_HARQ
1.06	gNB PHY Rxed	105	9	0	1	1	0	DL_CQI
1.06	gNB PHY Rxed	105	9	0	1	1	0	DL_HARQ
1.061	gNB PHY Rxed	106	0	0	1	1	0	DL_CQI
1.061	gNB PHY Rxed	106	0	0	1	1	0	DL_HARQ
1.062	gNB PHY Rxed	106	1	0	1	1	0	DL_CQI
1.062	gNB PHY Rxed	106	1	0	1	1	0	DL_HARQ
1.063	gNB PHY Rxed	106	2	0	1	1	0	DL_CQI
1.063	gNB PHY Rxed	106	2	0	1	1	0	DL_HARQ
1.064	gNB PHY Rxed	106	3	0	1	1	0	DL_CQI
1.064	gNB PHY Rxed	106	3	0	1	1	0	DL_HARQ
1.065	gNB PHY Rxed	106	4	0	1	1	0	DL_CQI
1.065	gNB PHY Rxed	106	4	0	1	1	0	DL_HARQ
1.066	gNB PHY Rxed	106	5	0	1	1	0	DL_CQI
1.066	gNB PHY Rxed	106	5	0	1	1	0	DL_HARQ
1.067	gNB PHY Rxed	106	6	0	1	1	0	DL_CQI
1.067	gNB PHY Rxed	106	6	0	1	1	0	DL_HARQ
1.068	gNB PHY Rxed	106	7	0	1	1	0	DL_CQI
1.068	gNB PHY Rxed	106	7	0	1	1	0	DL_HARQ
1.069	gNB PHY Rxed	106	8	0	1	1	0	DL_CQI
1.069	gNB PHY Rxed	106	8	0	1	1	0	DL_HARQ
1.07	gNB PHY Rxed	106	9	0	1	1	0	DL_CQI
1.07	gNB PHY Rxed	106	9	0	1	1	0	DL_HARQ
1.071	gNB PHY Rxed	107	0	0	1	1	0	DL_CQI
1.071	gNB PHY Rxed	107	0	0	1	1	0	DL_HARQ
1.072	gNB PHY Rxed	107	1	0	1	1	0	DL_CQI
1.072	gNB PHY Rxed	107	1	0	1	1	0	DL_HARQ
1.073	gNB PHY Rxed	107	2	0	1	1	0	DL_CQI
1.073	gNB PHY Rxed	107	2	0	1	1	0	DL_HARQ
1.074	gNB PHY Rxed	107	3	0	1	1	0	DL_CQI
1.074	gNB PHY Rxed	107	3	0	1	1	0	DL_HARQ
1.075	gNB PHY Rxed	107	4	0	1	1	0	DL_CQI
1.075	gNB PHY Rxed	107	4	0	1	1	0	DL_HARQ
1.076	gNB PHY Rxed	107	5	0	1	1	0	DL_CQI
1.076	gNB PHY Rxed	107	5	0	1	1	0	DL_HARQ
1.077	gNB PHY Rxed	107	6	0	1	1	0	DL_CQI
1.077	gNB PHY Rxed	107	6	0	1	1	0	DL_HARQ
1.078	gNB PHY Rxed	107	7	0	1	1	0	DL_CQI
1.078	gNB PHY Rxed	107	7	0	1	1	0	DL_HARQ
1.079	gNB PHY Rxed	107	8	0	1	1	0	DL_CQI
1.079	gNB PHY Rxed	107	8	0	1	1	0	DL_HARQ
1.08	gNB PHY Rxed	107	9	0	1	1	0	DL_CQI
1.08	gNB PHY Rxed	107	9	0	1	1	0	DL_HARQ
1.081	gNB PHY Rxed	108	0	0	1	1	0	DL_CQI
1.081	gNB PHY Rxed	108	0	0	1	1	0	DL_HARQ
1.082	gNB PHY Rxed	108	1	0	1	1	0	DL_CQI
1.082	gNB PHY Rxed	108	1	0	1	1	0	DL_HARQ
1.083	gNB PHY Rxed	108	2	0	1	1	0	DL_CQI
1.083	gNB PHY Rxed	108	2	0	1	1	0	DL_HARQ
1.084	gNB PHY Rxed	108	3	0	1	1	0	DL_CQI
1.084	gNB PHY Rxed	108	3	0	1	1	0	DL_HARQ
1.085	gNB PHY Rxed	108	4	0	1	1	0	DL_CQI
1.085	gNB PHY Rxed	108	4	0	1	1	0	DL_HARQ
1.086	gNB PHY Rxed	108	5	0	1	1	0	DL_CQI
1.086	gNB PHY Rxed	108	5	0	1	1	0	DL_HARQ
1.087	gNB PHY Rxed	108	6	0	1	1	0	DL_CQI
1.087	gNB PHY Rxed	108	6	0	1	1	0	DL_HARQ
1.088	gNB PHY Rxed	108	7	0	1	1	0	DL_CQI
1.088	gNB PHY Rxed	108	7	0	1	1	0	DL_HARQ
1.089	gNB PHY Rxed	108	8	0	1	1	0	DL_CQI
1.089	gNB PHY Rxed	108	8	0	1	1	0	DL_HARQ
1.09	gNB PHY Rxed	108	9	0	1	1	0	DL_CQI
1.09	gNB PHY Rxed	108	9	0	1	1	0	DL_HARQ
1.09093	gNB PHY Rxed	109	0	0	1	0	0	SRS
1.091	gNB PHY Rxed	109	0	0	1	1	0	DL_CQI
1.091	gNB PHY Rxed	109	0	0	1	1	0	DL_HARQ
1.092	gNB PHY Rxed	109	1	0	1	1	0	DL_CQI
1.092	gNB PHY Rxed	109	1	0	1	1	0	DL_HARQ
1.093	gNB PHY Rxed	109	2	0	1	1	0	DL_CQI
1.093	gNB PHY Rxed	109	2	0	1	1	0	DL_HARQ
1.094	gNB PHY Rxed	109	3	0	1	1	0	DL_CQI
1.094	gNB PHY Rxed	109	3	0	1	1	0	DL_HARQ
1.095	gNB PHY Rxed	109	4	0	1	1	0	DL_CQI
1.095	gNB PHY Rxed	109	4	0	1	1	0	DL_HARQ
1.096	gNB PHY Rxed	109	5	0	1	1	0	DL_CQI
1.096	gNB PHY Rxed	109	5	0	1	1	0	DL_HARQ
1.097	gNB PHY Rxed	109	6	0	1	1	0	DL_CQI
1.097	gNB PHY Rxed	109	6	0	1	1	0	DL_HARQ
1.098	gNB PHY Rxed	109	7	0	1	1	0	DL_CQI
1.098	gNB PHY Rxed	109	7	0	1	1	0	DL_HARQ
1.099	gNB PHY Rxed	109	8	0	1	1	0	DL_CQI
