time(s)	cellId	rnti	lcid	packetSize
0.677	1	1	5	8688
0.678	1	1	5	8688
0.679	1	1	5	8688
0.68	1	1	5	8688
0.681	1	1	5	8688
0.682	1	1	5	8688
0.683	1	1	5	8688
0.684	1	1	5	8688
0.685	1	1	5	8688
0.686	1	1	5	8688
0.687	1	1	5	8688
0.688	1	1	5	7965
0.689	1	1	5	8688
0.69	1	1	5	8688
0.691	1	1	5	8688
0.692	1	1	5	8688
0.693	1	1	5	8688
0.694	1	1	5	8688
0.695	1	1	5	8688
0.696	1	1	5	8688
0.697	1	1	5	8688
0.698	1	1	5	8688
0.699	1	1	5	8688
0.7	1	1	5	8688
0.701	1	1	5	8688
0.702	1	1	5	8688
0.703	1	1	5	8688
0.704	1	1	5	8688
0.705	1	1	5	8688
0.706	1	1	5	8688
0.707	1	1	5	8688
0.708	1	1	5	8688
0.709	1	1	5	8688
0.71	1	1	5	8688
0.711	1	1	5	8688
0.712	1	1	5	8688
0.713	1	1	5	8688
0.714	1	1	5	8688
0.715	1	1	5	8688
0.716	1	1	5	8688
0.717	1	1	5	8688
0.718	1	1	5	8688
0.719	1	1	5	8688
0.72	1	1	5	8688
0.721	1	1	5	8688
0.722	1	1	5	8688
0.723	1	1	5	8688
0.724	1	1	5	8688
0.725	1	1	5	8688
0.726	1	1	5	8688
0.727	1	1	5	8688
0.728	1	1	5	8688
0.729	1	1	5	8688
0.73	1	1	5	8688
0.731	1	1	5	8688
0.732	1	1	5	8688
0.733	1	1	5	8688
0.734	1	1	5	8688
0.735	1	1	5	8688
0.736	1	1	5	8688
0.737	1	1	5	8688
0.738	1	1	5	8688
0.739	1	1	5	8688
0.74	1	1	5	8688
0.741	1	1	5	8688
0.742	1	1	5	8688
0.743	1	1	5	8688
0.744	1	1	5	8688
0.745	1	1	5	8688
0.746	1	1	5	8688
0.747	1	1	5	8688
0.748	1	1	5	8688
0.749	1	1	5	8688
0.75	1	1	5	8688
0.751	1	1	5	8688
0.752	1	1	5	8688
0.753	1	1	5	8688
0.754	1	1	5	8688
0.755	1	1	5	8688
0.756	1	1	5	8688
0.757	1	1	5	8688
0.758	1	1	5	8688
0.759	1	1	5	8688
0.76	1	1	5	8688
0.761	1	1	5	8688
0.762	1	1	5	8688
0.763	1	1	5	8688
0.764	1	1	5	8688
0.765	1	1	5	8688
0.766	1	1	5	8688
0.767	1	1	5	8688
0.768	1	1	5	7965
0.769	1	1	5	8688
0.77	1	1	5	8688
0.771	1	1	5	8688
0.772	1	1	5	8688
0.773	1	1	5	8688
0.774	1	1	5	8688
0.775	1	1	5	8688
0.776	1	1	5	8688
0.777	1	1	5	8688
0.778	1	1	5	8688
0.779	1	1	5	8688
0.78	1	1	5	8688
0.781	1	1	5	8688
0.782	1	1	5	8688
0.783	1	1	5	8688
0.784	1	1	5	8688
0.785	1	1	5	8688
0.786	1	1	5	8688
0.787	1	1	5	8688
0.788	1	1	5	8688
0.789	1	1	5	8688
0.79	1	1	5	8688
0.791	1	1	5	8688
0.792	1	1	5	8688
0.793	1	1	5	8688
0.794	1	1	5	8688
0.795	1	1	5	8688
0.796	1	1	5	8688
0.797	1	1	5	8688
0.798	1	1	5	8688
0.799	1	1	5	8688
0.8	1	1	5	8688
0.801	1	1	5	8688
0.802	1	1	5	8688
0.803	1	1	5	8688
0.804	1	1	5	8688
0.805	1	1	5	8688
0.806	1	1	5	8688
0.807	1	1	5	8688
0.808	1	1	5	8688
0.809	1	1	5	8688
0.81	1	1	5	8688
0.811	1	1	5	8688
0.812	1	1	5	8688
0.813	1	1	5	8688
0.814	1	1	5	8688
0.815	1	1	5	8688
0.816	1	1	5	8688
0.817	1	1	5	8688
0.818	1	1	5	8688
0.819	1	1	5	8688
0.82	1	1	5	8688
0.821	1	1	5	8688
0.822	1	1	5	8688
0.823	1	1	5	8686
