% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.448	1	0	0	1	45	0	0	1	11	13	1	0	13	7968
0.449	1	0	0	1	45	1	0	1	12	12	1	0	13	8691
0.45	1	0	0	1	45	2	0	1	12	11	1	0	13	8691
0.451	1	0	0	1	45	3	0	1	12	15	1	0	13	8691
0.452	1	0	0	1	45	4	0	1	12	14	1	0	13	8691
0.453	1	0	0	1	45	5	0	1	12	13	1	0	13	8691
0.454	1	0	0	1	45	6	0	1	12	12	1	0	13	8691
0.455	1	0	0	1	45	7	0	1	12	11	1	0	13	8691
0.456	1	0	0	1	45	8	0	1	12	15	1	0	13	8691
0.457	1	0	0	1	45	9	0	1	12	14	1	0	13	8691
0.458	1	0	0	1	46	0	0	1	12	13	1	0	13	8691
0.459	1	0	0	1	46	1	0	1	12	12	1	0	13	8691
0.46	1	0	0	1	46	2	0	1	12	11	1	0	13	8691
0.461	1	0	0	1	46	3	0	1	12	15	1	0	13	8691
0.462	1	0	0	1	46	4	0	1	12	14	1	0	13	8691
0.463	1	0	0	1	46	5	0	1	12	13	1	0	13	8691
0.464	1	0	0	1	46	6	0	1	12	12	1	0	13	8691
0.465	1	0	0	1	46	7	0	1	12	11	1	0	13	8691
0.466	1	0	0	1	46	8	0	1	12	15	1	0	13	8691
0.467	1	0	0	1	46	9	0	1	12	14	1	0	13	8691
0.468	1	0	0	1	47	0	0	1	12	13	1	0	13	8691
0.469	1	0	0	1	47	1	0	1	12	12	1	0	13	8691
0.47	1	0	0	1	47	2	0	1	12	11	1	0	13	8691
0.471	1	0	0	1	47	3	0	1	12	15	1	0	13	8691
0.472	1	0	0	1	47	4	0	1	12	14	1	0	13	8691
0.473	1	0	0	1	47	5	0	1	12	13	1	0	13	8691
0.474	1	0	0	1	47	6	0	1	12	12	1	0	13	8691
0.475	1	0	0	1	47	7	0	1	12	11	1	0	13	8691
0.476	1	0	0	1	47	8	0	1	12	15	1	0	13	8691
0.477	1	0	0	1	47	9	0	1	12	14	1	0	13	8691
0.478	1	0	0	1	48	0	0	1	12	13	1	0	13	8691
0.479	1	0	0	1	48	1	0	1	12	12	1	0	13	8691
0.48	1	0	0	1	48	2	0	1	12	11	1	0	13	8691
0.481	1	0	0	1	48	3	0	1	12	15	1	0	13	8691
0.482	1	0	0	1	48	4	0	1	12	14	1	0	13	8691
0.483	1	0	0	1	48	5	0	1	12	13	1	0	13	8691
0.484	1	0	0	1	48	6	0	1	12	12	1	0	13	8691
0.485	1	0	0	1	48	7	0	1	12	11	1	0	13	8691
0.486	1	0	0	1	48	8	0	1	12	15	1	0	13	8691
0.487	1	0	0	1	48	9	0	1	12	14	1	0	13	8691
0.488	1	0	0	1	49	0	0	1	12	13	1	0	13	8691
0.489	1	0	0	1	49	1	0	1	12	12	1	0	13	8691
0.49	1	0	0	1	49	2	0	1	12	11	1	0	13	8691
0.491	1	0	0	1	49	3	0	1	12	15	1	0	13	8691
0.492	1	0	0	1	49	4	0	1	12	14	1	0	13	8691
0.493	1	0	0	1	49	5	0	1	12	13	1	0	13	8691
0.494	1	0	0	1	49	6	0	1	12	12	1	0	13	8691
0.495	1	0	0	1	49	7	0	1	12	11	1	0	13	8691
0.496	1	0	0	1	49	8	0	1	12	15	1	0	13	8691
0.497	1	0	0	1	49	9	0	1	12	14	1	0	13	8691
0.498	1	0	0	1	50	0	0	1	12	13	1	0	13	8691
0.499	1	0	0	1	50	1	0	1	12	12	1	0	13	8691
0.5	1	0	0	1	50	2	0	1	12	11	1	0	13	8691
0.501	1	0	0	1	50	3	0	1	12	15	1	0	13	8691
0.502	1	0	0	1	50	4	0	1	12	14	1	0	13	8691
0.503	1	0	0	1	50	5	0	1	12	13	1	0	13	8691
0.504	1	0	0	1	50	6	0	1	12	12	1	0	13	8691
0.505	1	0	0	1	50	7	0	1	12	11	1	0	13	8691
0.506	1	0	0	1	50	8	0	1	12	15	1	0	13	8691
0.507	1	0	0	1	50	9	0	1	12	14	1	0	13	8691
0.508	1	0	0	1	51	0	0	1	12	13	1	0	13	8691
0.509	1	0	0	1	51	1	0	1	12	12	1	0	13	8691
0.51	1	0	0	1	51	2	0	1	12	11	1	0	13	8691
0.511	1	0	0	1	51	3	0	1	12	15	1	0	13	8691
0.512	1	0	0	1	51	4	0	1	12	14	1	0	13	8691
0.513	1	0	0	1	51	5	0	1	12	13	1	0	13	8691
0.514	1	0	0	1	51	6	0	1	12	12	1	0	13	8691
0.515	1	0	0	1	51	7	0	1	12	11	1	0	13	8691
0.516	1	0	0	1	51	8	0	1	12	15	1	0	13	8691
0.517	1	0	0	1	51	9	0	1	12	14	1	0	13	8691
0.518	1	0	0	1	52	0	0	1	12	13	1	0	13	8691
0.519	1	0	0	1	52	1	0	1	12	12	1	0	13	8691
0.52	1	0	0	1	52	2	0	1	12	11	1	0	13	8691
0.521	1	0	0	1	52	3	0	1	12	15	1	0	13	8691
0.522	1	0	0	1	52	4	0	1	12	14	1	0	13	8691
0.523	1	0	0	1	52	5	0	1	12	13	1	0	13	8691
0.524	1	0	0	1	52	6	0	1	12	12	1	0	13	8691
0.525	1	0	0	1	52	7	0	1	12	11	1	0	13	8691
0.526	1	0	0	1	52	8	0	1	12	15	1	0	13	8691
0.527	1	0	0	1	52	9	0	1	12	14	1	0	13	8691
0.528	1	0	0	1	53	0	0	1	11	13	1	0	13	7968
0.529	1	0	0	1	53	1	0	1	12	12	1	0	13	8691
0.53	1	0	0	1	53	2	0	1	12	11	1	0	13	8691
0.531	1	0	0	1	53	3	0	1	12	15	1	0	13	8691
0.532	1	0	0	1	53	4	0	1	12	14	1	0	13	8691
0.533	1	0	0	1	53	5	0	1	12	13	1	0	13	8691
0.534	1	0	0	1	53	6	0	1	12	12	1	0	13	8691
0.535	1	0	0	1	53	7	0	1	12	11	1	0	13	8691
0.536	1	0	0	1	53	8	0	1	12	15	1	0	13	8691
0.537	1	0	0	1	53	9	0	1	12	14	1	0	13	8691
0.538	1	0	0	1	54	0	0	1	12	13	1	0	13	8691
0.539	1	0	0	1	54	1	0	1	12	12	1	0	13	8691
0.54	1	0	0	1	54	2	0	1	12	11	1	0	13	8691
0.541	1	0	0	1	54	3	0	1	12	15	1	0	13	8691
0.542	1	0	0	1	54	4	0	1	12	14	1	0	13	8691
0.543	1	0	0	1	54	5	0	1	12	13	1	0	13	8691
0.544	1	0	0	1	54	6	0	1	12	12	1	0	13	8691
0.545	1	0	0	1	54	7	0	1	12	11	1	0	13	8691
0.546	1	0	0	1	54	8	0	1	12	15	1	0	13	8691
0.547	1	0	0	1	54	9	0	1	12	14	1	0	13	8691
0.548	1	0	0	1	55	0	0	1	12	13	1	0	13	8691
0.549	1	0	0	1	55	1	0	1	12	12	1	0	13	8691
0.55	1	0	0	1	55	2	0	1	12	11	1	0	13	8691
0.551	1	0	0	1	55	3	0	1	12	15	1	0	13	8691
0.552	1	0	0	1	55	4	0	1	12	14	1	0	13	8691
0.553	1	0	0	1	55	5	0	1	12	13	1	0	13	8691
0.554	1	0	0	1	55	6	0	1	12	12	1	0	13	8691
0.555	1	0	0	1	55	7	0	1	12	11	1	0	13	8691
0.556	1	0	0	1	55	8	0	1	12	15	1	0	13	8691
0.557	1	0	0	1	55	9	0	1	12	14	1	0	13	8691
0.558	1	0	0	1	56	0	0	1	12	13	1	0	13	8691
0.559	1	0	0	1	56	1	0	1	12	12	1	0	13	8691
0.56	1	0	0	1	56	2	0	1	12	11	1	0	13	8691
0.561	1	0	0	1	56	3	0	1	12	15	1	0	13	8691
0.562	1	0	0	1	56	4	0	1	12	14	1	0	13	8691
0.563	1	0	0	1	56	5	0	1	12	13	1	0	13	8691
0.564	1	0	0	1	56	6	0	1	12	12	1	0	13	8691
0.565	1	0	0	1	56	7	0	1	12	11	1	0	13	8691
0.566	1	0	0	1	56	8	0	1	12	15	1	0	13	8691
0.567	1	0	0	1	56	9	0	1	12	14	1	0	13	8691
0.568	1	0	0	1	57	0	0	1	12	13	1	0	13	8691
0.569	1	0	0	1	57	1	0	1	12	12	1	0	13	8691
0.57	1	0	0	1	57	2	0	1	12	11	1	0	13	8691
0.571	1	0	0	1	57	3	0	1	12	15	1	0	13	8691
0.572	1	0	0	1	57	4	0	1	12	14	1	0	13	8691
0.573	1	0	0	1	57	5	0	1	12	13	1	0	13	8691
0.574	1	0	0	1	57	6	0	1	12	12	1	0	13	8691
0.575	1	0	0	1	57	7	0	1	12	11	1	0	13	8691
0.576	1	0	0	1	57	8	0	1	12	15	1	0	13	8691
0.577	1	0	0	1	57	9	0	1	12	14	1	0	13	8691
0.578	1	0	0	1	58	0	0	1	12	13	1	0	13	8691
0.579	1	0	0	1	58	1	0	1	12	12	1	0	13	8691
0.58	1	0	0	1	58	2	0	1	12	11	1	0	13	8691
0.581	1	0	0	1	58	3	0	1	12	15	1	0	13	8691
0.582	1	0	0	1	58	4	0	1	12	14	1	0	13	8691
0.583	1	0	0	1	58	5	0	1	12	13	1	0	13	8691
0.584	1	0	0	1	58	6	0	1	12	12	1	0	13	8691
0.585	1	0	0	1	58	7	0	1	12	11	1	0	13	8691
0.586	1	0	0	1	58	8	0	1	12	15	1	0	13	8691
0.587	1	0	0	1	58	9	0	1	12	14	1	0	13	8691
0.588	1	0	0	1	59	0	0	1	12	13	1	0	13	8691
0.589	1	0	0	1	59	1	0	1	12	12	1	0	13	8691
0.59	1	0	0	1	59	2	0	1	12	11	1	0	13	8691
0.591	1	0	0	1	59	3	0	1	12	15	1	0	13	8691
0.592	1	0	0	1	59	4	0	1	12	14	1	0	13	8691
0.593	1	0	0	1	59	5	0	1	12	13	1	0	13	8691
0.594	1	0	0	1	59	6	0	1	12	12	1	0	13	8691
0.595	1	0	0	1	59	7	0	1	12	11	1	0	13	8691
0.596	1	0	0	1	59	8	0	1	12	15	1	0	13	8691
0.597	1	0	0	1	59	9	0	1	12	14	1	0	13	8691
0.598	1	0	0	1	60	0	0	1	12	13	1	0	13	8691
0.599	1	0	0	1	60	1	0	1	12	12	1	0	13	8691
0.6	1	0	0	1	60	2	0	1	12	11	1	0	13	8691
0.601	1	0	0	1	60	3	0	1	12	15	1	0	13	8691
0.602	1	0	0	1	60	4	0	1	12	14	1	0	13	8691
0.603	1	0	0	1	60	5	0	1	12	13	1	0	13	8691
0.604	1	0	0	1	60	6	0	1	12	12	1	0	13	8691
0.605	1	0	0	1	60	7	0	1	12	11	1	0	13	8691
0.606	1	0	0	1	60	8	0	1	12	15	1	0	13	8691
0.607	1	0	0	1	60	9	0	1	12	14	1	0	13	8691
0.608	1	0	0	1	61	0	0	1	11	13	1	0	13	7968
0.609	1	0	0	1	61	1	0	1	12	12	1	0	13	8691
0.61	1	0	0	1	61	2	0	1	12	11	1	0	13	8691
0.611	1	0	0	1	61	3	0	1	12	15	1	0	13	8691
0.612	1	0	0	1	61	4	0	1	12	14	1	0	13	8691
0.613	1	0	0	1	61	5	0	1	12	13	1	0	13	8691
0.614	1	0	0	1	61	6	0	1	12	12	1	0	13	8691
0.615	1	0	0	1	61	7	0	1	12	11	1	0	13	8691
0.616	1	0	0	1	61	8	0	1	12	15	1	0	13	8691
0.617	1	0	0	1	61	9	0	1	12	14	1	0	13	8691
0.618	1	0	0	1	62	0	0	1	12	13	1	0	13	8691
0.619	1	0	0	1	62	1	0	1	12	12	1	0	13	8691
0.62	1	0	0	1	62	2	0	1	12	11	1	0	13	8691
0.621	1	0	0	1	62	3	0	1	12	15	1	0	13	8691
0.622	1	0	0	1	62	4	0	1	12	14	1	0	13	8691
0.623	1	0	0	1	62	5	0	1	12	13	1	0	13	8691
0.624	1	0	0	1	62	6	0	1	12	12	1	0	13	8691
0.625	1	0	0	1	62	7	0	1	12	11	1	0	13	8691
0.626	1	0	0	1	62	8	0	1	12	15	1	0	13	8691
0.627	1	0	0	1	62	9	0	1	12	14	1	0	13	8691
0.628	1	0	0	1	63	0	0	1	12	13	1	0	13	8691
0.629	1	0	0	1	63	1	0	1	12	12	1	0	13	8691
0.63	1	0	0	1	63	2	0	1	12	11	1	0	13	8691
0.631	1	0	0	1	63	3	0	1	12	15	1	0	13	8691
0.632	1	0	0	1	63	4	0	1	12	14	1	0	13	8691
0.633	1	0	0	1	63	5	0	1	12	13	1	0	13	8691
0.634	1	0	0	1	63	6	0	1	12	12	1	0	13	8691
0.635	1	0	0	1	63	7	0	1	12	11	1	0	13	8691
0.636	1	0	0	1	63	8	0	1	12	15	1	0	13	8691
0.637	1	0	0	1	63	9	0	1	12	14	1	0	13	8691
0.638	1	0	0	1	64	0	0	1	12	13	1	0	13	8691
0.639	1	0	0	1	64	1	0	1	12	12	1	0	13	8691
0.64	1	0	0	1	64	2	0	1	12	11	1	0	13	8691
0.641	1	0	0	1	64	3	0	1	12	15	1	0	13	8691
0.642	1	0	0	1	64	4	0	1	12	14	1	0	13	8691
0.643	1	0	0	1	64	5	0	1	12	13	1	0	13	8691
0.644	1	0	0	1	64	6	0	1	12	12	1	0	13	8691
0.645	1	0	0	1	64	7	0	1	12	11	1	0	13	8691
0.646	1	0	0	1	64	8	0	1	12	15	1	0	13	8691
0.647	1	0	0	1	64	9	0	1	12	14	1	0	13	8691
0.648	1	0	0	1	65	0	0	1	12	13	1	0	13	8691
0.649	1	0	0	1	65	1	0	1	12	12	1	0	13	8691
0.65	1	0	0	1	65	2	0	1	12	11	1	0	13	8691
0.651	1	0	0	1	65	3	0	1	12	15	1	0	13	8691
0.652	1	0	0	1	65	4	0	1	12	14	1	0	13	8691
0.653	1	0	0	1	65	5	0	1	12	13	1	0	13	8691
0.654	1	0	0	1	65	6	0	1	12	12	1	0	13	8691
0.655	1	0	0	1	65	7	0	1	12	11	1	0	13	8691
0.656	1	0	0	1	65	8	0	1	12	15	1	0	13	8691
0.657	1	0	0	1	65	9	0	1	12	14	1	0	13	8691
0.658	1	0	0	1	66	0	0	1	12	13	1	0	13	8691
0.659	1	0	0	1	66	1	0	1	12	12	1	0	13	8691
0.66	1	0	0	1	66	2	0	1	12	11	1	0	13	8691
0.661	1	0	0	1	66	3	0	1	12	15	1	0	13	8691
0.662	1	0	0	1	66	4	0	1	12	14	1	0	13	8691
0.663	1	0	0	1	66	5	0	1	12	13	1	0	13	8691
0.664	1	0	0	1	66	6	0	1	12	12	1	0	13	8691
0.665	1	0	0	1	66	7	0	1	12	11	1	0	13	8691
0.666	1	0	0	1	66	8	0	1	12	15	1	0	13	8691
0.667	1	0	0	1	66	9	0	1	12	14	1	0	13	8691
0.668	1	0	0	1	67	0	0	1	12	13	1	0	13	8691
0.669	1	0	0	1	67	1	0	1	12	12	1	0	13	8691
0.67	1	0	0	1	67	2	0	1	12	11	1	0	13	8691
0.671	1	0	0	1	67	3	0	1	12	15	1	0	13	8691
0.672	1	0	0	1	67	4	0	1	12	14	1	0	13	8691
0.673	1	0	0	1	67	5	0	1	12	13	1	0	13	8691
0.674	1	0	0	1	67	6	0	1	12	12	1	0	13	8691
0.675	1	0	0	1	67	7	0	1	12	11	1	0	13	8691
0.676	1	0	0	1	67	8	0	1	12	15	1	0	13	8691
0.677	1	0	0	1	67	9	0	1	12	14	1	0	13	8691
0.678	1	0	0	1	68	0	0	1	12	13	1	0	13	8691
0.679	1	0	0	1	68	1	0	1	12	12	1	0	13	8691
0.68	1	0	0	1	68	2	0	1	12	11	1	0	13	8691
0.681	1	0	0	1	68	3	0	1	12	15	1	0	13	8691
0.682	1	0	0	1	68	4	0	1	12	14	1	0	13	8691
0.683	1	0	0	1	68	5	0	1	12	13	1	0	13	8691
0.684	1	0	0	1	68	6	0	1	12	12	1	0	13	8691
0.685	1	0	0	1	68	7	0	1	12	11	1	0	13	8691
0.686	1	0	0	1	68	8	0	1	12	15	1	0	13	8691
0.687	1	0	0	1	68	9	0	1	12	14	1	0	13	8691
0.688	1	0	0	1	69	0	0	1	11	13	1	0	13	7968
0.689	1	0	0	1	69	1	0	1	12	12	1	0	13	8691
0.69	1	0	0	1	69	2	0	1	12	11	1	0	13	8691
0.691	1	0	0	1	69	3	0	1	12	15	1	0	13	8691
0.692	1	0	0	1	69	4	0	1	12	14	1	0	13	8691
0.693	1	0	0	1	69	5	0	1	12	13	1	0	13	8691
0.694	1	0	0	1	69	6	0	1	12	12	1	0	13	8691
0.695	1	0	0	1	69	7	0	1	12	11	1	0	13	8691
0.696	1	0	0	1	69	8	0	1	12	15	1	0	13	8691
0.697	1	0	0	1	69	9	0	1	12	14	1	0	13	8691
0.698	1	0	0	1	70	0	0	1	12	13	1	0	13	8691
0.699	1	0	0	1	70	1	0	1	12	12	1	0	13	8691
0.7	1	0	0	1	70	2	0	1	12	11	1	0	13	8691
0.701	1	0	0	1	70	3	0	1	12	15	1	0	13	8691
0.702	1	0	0	1	70	4	0	1	12	14	1	0	13	8691
0.703	1	0	0	1	70	5	0	1	12	13	1	0	13	8691
0.704	1	0	0	1	70	6	0	1	12	12	1	0	13	8691
0.705	1	0	0	1	70	7	0	1	12	11	1	0	13	8691
0.706	1	0	0	1	70	8	0	1	12	15	1	0	13	8691
0.707	1	0	0	1	70	9	0	1	12	14	1	0	13	8691
0.708	1	0	0	1	71	0	0	1	12	13	1	0	13	8691
0.709	1	0	0	1	71	1	0	1	12	12	1	0	13	8691
0.71	1	0	0	1	71	2	0	1	12	11	1	0	13	8691
0.711	1	0	0	1	71	3	0	1	12	15	1	0	13	8691
0.712	1	0	0	1	71	4	0	1	12	14	1	0	13	8691
0.713	1	0	0	1	71	5	0	1	12	13	1	0	13	8691
0.714	1	0	0	1	71	6	0	1	12	12	1	0	13	8691
0.715	1	0	0	1	71	7	0	1	12	11	1	0	13	8691
0.716	1	0	0	1	71	8	0	1	12	15	1	0	13	8691
0.717	1	0	0	1	71	9	0	1	12	14	1	0	13	8691
0.718	1	0	0	1	72	0	0	1	12	13	1	0	13	8691
0.719	1	0	0	1	72	1	0	1	12	12	1	0	13	8691
0.72	1	0	0	1	72	2	0	1	12	11	1	0	13	8691
0.721	1	0	0	1	72	3	0	1	12	15	1	0	13	8691
0.722	1	0	0	1	72	4	0	1	12	14	1	0	13	8691
0.723	1	0	0	1	72	5	0	1	12	13	1	0	13	8691
0.724	1	0	0	1	72	6	0	1	12	12	1	0	13	8691
0.725	1	0	0	1	72	7	0	1	12	11	1	0	13	8691
0.726	1	0	0	1	72	8	0	1	12	15	1	0	13	8691
0.727	1	0	0	1	72	9	0	1	12	14	1	0	13	8691
0.728	1	0	0	1	73	0	0	1	12	13	1	0	13	8691
0.729	1	0	0	1	73	1	0	1	12	12	1	0	13	8691
0.73	1	0	0	1	73	2	0	1	12	11	1	0	13	8691
0.731	1	0	0	1	73	3	0	1	12	15	1	0	13	8691
0.732	1	0	0	1	73	4	0	1	12	14	1	0	13	8691
0.733	1	0	0	1	73	5	0	1	12	13	1	0	13	8691
0.734	1	0	0	1	73	6	0	1	12	12	1	0	13	8691
0.735	1	0	0	1	73	7	0	1	12	11	1	0	13	8691
0.736	1	0	0	1	73	8	0	1	12	15	1	0	13	8691
0.737	1	0	0	1	73	9	0	1	12	14	1	0	13	8691
0.738	1	0	0	1	74	0	0	1	12	13	1	0	13	8691
0.739	1	0	0	1	74	1	0	1	12	12	1	0	13	8691
0.74	1	0	0	1	74	2	0	1	12	11	1	0	13	8691
0.741	1	0	0	1	74	3	0	1	12	15	1	0	13	8691
0.742	1	0	0	1	74	4	0	1	12	14	1	0	13	8691
0.743	1	0	0	1	74	5	0	1	12	13	1	0	13	8691
0.744	1	0	0	1	74	6	0	1	12	12	1	0	13	8691
0.745	1	0	0	1	74	7	0	1	12	11	1	0	13	8691
0.746	1	0	0	1	74	8	0	1	12	15	1	0	13	8691
0.747	1	0	0	1	74	9	0	1	12	14	1	0	13	8691
0.748	1	0	0	1	75	0	0	1	12	13	1	0	13	8691
0.749	1	0	0	1	75	1	0	1	12	12	1	0	13	8691
0.75	1	0	0	1	75	2	0	1	12	11	1	0	13	8691
0.751	1	0	0	1	75	3	0	1	12	15	1	0	13	8691
0.752	1	0	0	1	75	4	0	1	12	14	1	0	13	8691
0.753	1	0	0	1	75	5	0	1	12	13	1	0	13	8691
0.754	1	0	0	1	75	6	0	1	12	12	1	0	13	8691
0.755	1	0	0	1	75	7	0	1	12	11	1	0	13	8691
0.756	1	0	0	1	75	8	0	1	12	15	1	0	13	8691
0.757	1	0	0	1	75	9	0	1	12	14	1	0	13	8691
0.758	1	0	0	1	76	0	0	1	12	13	1	0	13	8691
0.759	1	0	0	1	76	1	0	1	12	12	1	0	13	8691
0.76	1	0	0	1	76	2	0	1	12	11	1	0	13	8691
0.761	1	0	0	1	76	3	0	1	12	15	1	0	13	8691
0.762	1	0	0	1	76	4	0	1	12	14	1	0	13	8691
0.763	1	0	0	1	76	5	0	1	12	13	1	0	13	8691
0.764	1	0	0	1	76	6	0	1	12	12	1	0	13	8691
0.765	1	0	0	1	76	7	0	1	12	11	1	0	13	8691
0.766	1	0	0	1	76	8	0	1	12	15	1	0	13	8691
0.767	1	0	0	1	76	9	0	1	12	14	1	0	13	8691
0.768	1	0	0	1	77	0	0	1	11	13	1	0	13	7968
0.769	1	0	0	1	77	1	0	1	12	12	1	0	13	8691
0.77	1	0	0	1	77	2	0	1	12	11	1	0	13	8691
0.771	1	0	0	1	77	3	0	1	12	15	1	0	13	8691
0.772	1	0	0	1	77	4	0	1	12	14	1	0	13	8691
0.773	1	0	0	1	77	5	0	1	12	13	1	0	13	8691
0.774	1	0	0	1	77	6	0	1	12	12	1	0	13	8691
0.775	1	0	0	1	77	7	0	1	12	11	1	0	13	8691
0.776	1	0	0	1	77	8	0	1	12	15	1	0	13	8691
0.777	1	0	0	1	77	9	0	1	12	14	1	0	13	8691
0.778	1	0	0	1	78	0	0	1	12	13	1	0	13	8691
0.779	1	0	0	1	78	1	0	1	12	12	1	0	13	8691
0.78	1	0	0	1	78	2	0	1	12	11	1	0	13	8691
0.781	1	0	0	1	78	3	0	1	12	15	1	0	13	8691
0.782	1	0	0	1	78	4	0	1	12	14	1	0	13	8691
0.783	1	0	0	1	78	5	0	1	12	13	1	0	13	8691
0.784	1	0	0	1	78	6	0	1	12	12	1	0	13	8691
0.785	1	0	0	1	78	7	0	1	12	11	1	0	13	8691
0.786	1	0	0	1	78	8	0	1	12	15	1	0	13	8691
0.787	1	0	0	1	78	9	0	1	12	14	1	0	13	8691
0.788	1	0	0	1	79	0	0	1	12	13	1	0	13	8691
0.789	1	0	0	1	79	1	0	1	12	12	1	0	13	8691
0.79	1	0	0	1	79	2	0	1	12	11	1	0	13	8691
0.791	1	0	0	1	79	3	0	1	12	15	1	0	13	8691
0.792	1	0	0	1	79	4	0	1	12	14	1	0	13	8691
0.793	1	0	0	1	79	5	0	1	12	13	1	0	13	8691
0.794	1	0	0	1	79	6	0	1	12	12	1	0	13	8691
0.795	1	0	0	1	79	7	0	1	12	11	1	0	13	8691
0.796	1	0	0	1	79	8	0	1	12	15	1	0	13	8691
0.797	1	0	0	1	79	9	0	1	12	14	1	0	13	8691
0.798	1	0	0	1	80	0	0	1	12	13	1	0	13	8691
0.799	1	0	0	1	80	1	0	1	12	12	1	0	13	8691
0.8	1	0	0	1	80	2	0	1	12	11	1	0	13	8691
0.801	1	0	0	1	80	3	0	1	12	15	1	0	13	8691
0.802	1	0	0	1	80	4	0	1	12	14	1	0	13	8691
0.803	1	0	0	1	80	5	0	1	12	13	1	0	13	8691
0.804	1	0	0	1	80	6	0	1	12	12	1	0	13	8691
0.805	1	0	0	1	80	7	0	1	12	11	1	0	13	8691
0.806	1	0	0	1	80	8	0	1	12	15	1	0	13	8691
0.807	1	0	0	1	80	9	0	1	12	14	1	0	13	8691
0.808	1	0	0	1	81	0	0	1	12	13	1	0	13	8691
0.809	1	0	0	1	81	1	0	1	12	12	1	0	13	8691
0.81	1	0	0	1	81	2	0	1	12	11	1	0	13	8691
0.811	1	0	0	1	81	3	0	1	12	15	1	0	13	8691
0.812	1	0	0	1	81	4	0	1	12	14	1	0	13	8691
0.813	1	0	0	1	81	5	0	1	12	13	1	0	13	8691
0.814	1	0	0	1	81	6	0	1	12	12	1	0	13	8691
0.815	1	0	0	1	81	7	0	1	12	11	1	0	13	8691
0.816	1	0	0	1	81	8	0	1	12	15	1	0	13	8691
0.817	1	0	0	1	81	9	0	1	12	14	1	0	13	8691
0.818	1	0	0	1	82	0	0	1	12	13	1	0	13	8691
0.819	1	0	0	1	82	1	0	1	12	12	1	0	13	8691
0.82	1	0	0	1	82	2	0	1	12	11	1	0	13	8691
