Time	CellId	RNTI	BWPId	SINR(dB)
0.400092	1	1	0	-2.01041
0.400123	1	1	0	-2.01041
0.400154	1	1	0	-2.01041
0.400163	1	1	0	-2.01041
0.400248	1	1	0	-2.01041
0.400279	1	1	0	-2.01041
0.40031	1	1	0	-2.01041
0.400319	1	1	0	-2.01041
0.400404	1	1	0	-2.01041
0.400435	1	1	0	-2.01041
0.400467	1	1	0	-2.01041
0.400475	1	1	0	-2.01041
0.40056	1	1	0	-2.01041
0.400592	1	1	0	-2.01041
0.400623	1	1	0	-2.01041
0.400632	1	1	0	-2.01041
